id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
110,次の文は、斜角探傷における超音波探傷器の探傷図形について述べたものである。正しいものを一つ選 び、記号で答えよ。,鋼溶接部の斜角探傷試験において、ゲート範囲は測定範囲全体に掛けておくと、作業効率を上げること ができる。,探傷の際、表示器の表示モードは常時ＭＡ波形表示に設定しておいた方が、きずの最大エコーを正しく 測定することができる。,デジタル探傷器を用いて斜角探傷を行う場合、あらかじめ探傷装置に屈折角と板厚の数値を入力して おけば、きず位置は画面表示されるので、探傷作業中は、きずの位置の表示部だけを監視する。,デジタル探傷器を用いて斜角探傷を行う場合、ビーム路程の読み取りはゲートで捉えられたエコーにつ いて、表示部に示された数値を読み取るのがよい。,d,ｴｺｰ高さについては、多くはｹﾞｰﾄ内の最大高さを検出してｴｺｰ高さを 表示する。ｹﾞｰﾄ内に二つ以上のｴｺｰが表示されている場合、一番高い ｴｺｰの高さが表示される。したがって設定したｹﾞｰﾄ内に着目するｴｺｰ より高いｴｺｰがある場合、着目するｴｺｰのみにｹﾞｰﾄが掛かるように ｹﾞｰﾄ幅、位置などを調整する必要がある。,
111,次の文は、Ｋ走査探傷法について述べたものである。正しいものを一つ選び、記号で答えよ。,Ｋ走査探傷法とは、鋼材溶接部のブローホールの検出を目的とした探傷法である。,Ｋ走査探傷法とは、鉄筋圧接部の不完全接合部の検出に用いる探傷法である。,Ｋ走査探傷法とは、探触子を向かい合わせた状態で探傷する方法である。,Ｋ走査探傷法とは、角継手の溶込み幅の測定に有効な探傷法である。,b,K 走査探傷法とは、鉄筋圧接部の不完全接合部を検出する探傷法であ る。鉄筋ガス圧接部の超音波探傷試験では、送信側探触子を鉄筋ﾘﾌﾞ 上にｾｯﾄし、反対側ﾘﾌﾞに受信側探触子をｾｯﾄして不完全接合部からの 反射波を検出する。送信側探触子から発信された超音波が不完全接 合部で反射され受信側探触子に受信される超音波の経路が英字の K に似ている所から、この探傷法をK 走査探傷法と呼ぶ。,
113,次の文は、水浸法で鋼材を探傷する場合について述べたものである。正しいものを一つ選び、記号で答 えよ。,表面エコーが大きく現れるので、表面エコーより短いビーム路程できずを検出する。,水距離は、試験体の厚さの1/4 を超える距離にする。,水距離は、試験体の厚さの約3 倍以上にする。,表面エコーが大きく現れるので、きずが検出され易いように探傷感度を低くして探傷する。,b,水浸法では、探傷図形に第2 回表面ｴｺｰ(S)が第1 回表面ｴｺｰ(S)と第 2 1 1 回底面ｴｺｰ(B)との間に現れるときずの検出が困難になるため、第2 1 回表面ｴｺｰ(S)が第1 回底面ｴｺｰ(B)の後ろに現れるようにしなければ 2 1 ならない。このためには、次式で示す関係が成立するように水距離 (ℓ)を決めなければならない。 ℓ≧V ・ｔ/V ここで、ℓ：水距離、V ：水の音速、ｔ：試験体の厚 Ｗ Ｗ さ、V：試験体の音速 鋼材の音速 5900m/s に対して水の音速は 1480m/s とすると、鋼材の 音速を水距離に換算すると 1480/5900=0.25 となり、試験体厚さ(t) の1/4 となるため、1/4 を超える距離にする必要がある。,
114,次の文は、減衰のある鍛鋼品の垂直探傷における感度調整について述べたものである。正しいものを一 つ選び、記号で答えよ。,底面エコー方式の感度調整による探傷では、試験片方式による感度調整よりも、きずを小さめに評価す る傾向がある。,底面エコー方式の感度調整による探傷では、試験片方式による感度調整よりも、きずを大きめに評価す る傾向がある。,底面エコー方式の感度調整による探傷では、減衰の影響を受けないで、きずを評価することができる。,底面エコー方式の感度調整による探傷では、減衰量を特に補正しなくても、きずを評価することができ る。,b,底面ｴｺｰ方式による感度調整では、減衰の大きな試験体では、試験片 方式による感度調整よりも、過大評価する傾向がある。 底面ｴｺｰ方式では、試験体表面の粗さの影響を受けにくいが、試験片 方式では試験体表面の粗さに影響を受けやすい。,
115,次の文は、垂直探傷における感度調整について述べたものである。正しいものを一つ選び、記号で答え よ。,底面エコー方式による感度調整では、試験体の減衰が大きい場合、きずを過小評価する傾向にある。,試験片方式による感度調整では、試験体の減衰が大きい場合、きずを過大評価する恐れがある。,底面エコー方式による感度調整は、試験体の探傷面の粗さの影響を受けにくい。,試験片方式による感度調整は、試験体の探傷面の粗さの影響を受けにくい。,c,底面ｴｺｰ方式による感度調整では、きずを過大評価する傾向がある。 試験片方式による感度調整では、きずを過小評価する恐れがあり、ま た試験体の表面粗さの影響を受けやすい。,
116,次の文は、超音波探傷における感度調整について述べたものである。正しものを一つ選び、 記号で答えよ。,標準試験片や対比試験片に加工されている標準穴は、決められた形状・寸法の穴であり、超音波探傷器の 感度調整などを行うとき標準反射源として用いる。,対比試験片に加工されている標準穴は、任意の穴径に加工することができる。,試験片方式の感度調整では、きず部の底面エコーを基準としている。,底面エコー方式の感度調整では、きずエコーが最大になった時のきず部の底面エコーを基準としている。,a,標準試験片では、JIS 規格によって定められた試験片で、形状寸法や 標準穴の寸法が定められており、各自で自由に作成することができ ないため、購入するしか入手する方法はない。対比試験片は、一般に 標準試験片が使用できない場合に使用するもので、材質の違いによ り音速や減衰などの超音波と伝搬特性が異なるものや、試験体の形 状の違いによって、超音波の伝搬特性が異なる場合に使用する。 対比試験片も、形状や穴径はJIS に規定されている。 試験片方式とは、標準試験片又は対比試験片を用いて探傷感度を調 整して探傷を行う方法をいう。 底面ｴｺｰ方式とは、試験体の健全部の底面ｴｺｰ高さを基準として、きず 検出感度を調整して探傷を行う方法をいう。,
117,次の文は、探傷器のゲイン調整について述べたものである。正しいものを一つ選び、記号で答えよ。,表示器上、10%のエコーに対し、ゲイン値を12dB 上げると、そのエコーは50%になった。,表示器上、100%のエコーに対し、ゲイン値を14dB 下げると、そのエコーは10%になった。,表示器上、20%のエコーに対し、ゲイン値を2dB 上げると、そのエコーは35%になった。,表示器上、80%のエコーに対し、ゲイン値を10dB 下げると、そのエコーは25%になった。,d,a)12dB=20logχ ⇒ χ=4 倍 10%×4 倍=40% b)-14dB=20logχ ⇒ χ=0.2 倍 100%×0.2 倍=20% c)2dB=20logχ ⇒ χ=1.26 倍 20%×1.26 倍=25% d)-10dB=20logχ ⇒ χ=0.3 倍 80%×0.3 倍=25%,
118,次の文は、ＤＧＳ線図について述べたものである。正しいものを一つ選び、記号で答えよ。,ＤＧＳ線図を利用してきずの種類を推定できる。,ＤＧＳ線図はＳＴＢ-Ｇのような円形平面きずに換算して評価するときに用いる。,ＤＧＳ線図によってきずの大きさを評価する場合、減衰の著しい材料でも補正の必要はない。,ＤＧＳ線図によってきずの大きさを評価する場合、球状きずの直径に換算して推定する。,b,ＤＧＳ線図は円形平面きず及び底面エコー高さの大きさと、距離、き ず寸法との関係を整理したものであり、検出したきず寸法を円形等 価寸法として推定する等に用いる。,
119,次の文は、ＤＧＳ線図の利用について述べたものである。[１]に適する数値を１つ選び、記号で答え よ。 2C20N の探触子を用いて、厚さ200mm の鋼製試験体を垂直探傷した。探傷感度は試験片方式でSTB-G V8 の エコー高さを50%に調整した。ビーム路程150mm の位置でエコー高さ96%のきずを検出した。このきずを超 音波ビームに垂直な円形平面きずとして、その直径を、DGS 線図を使用して求めると、[１]ｍｍとなる。 ただし、STB と試験体における接触状態、減衰及び音速の違いは無視する。 [１],2.1,3.0,3.5,5.0,d,STB-G V8 の標準穴は探傷面から80mm で、その標準穴の直径は 2mm であることを覚える。最初に80mm の深さにある直径2mm の 相対ｴｺｰ高さは、DGS 線図より-36.5dB となる。この標準穴の ｴｺｰ高さF を50％に調整し、150mm の深さにあるきずを検出したと STB きのｴｺｰ高さF が96％という事は、標準穴に対してきずｴｺｰは 20logF/F ＝20log96/50＝5.7dB STB 標準穴の相対ｴｺｰ-36.5dB に比べて＋5.7dB がきずの相対ｴｺｰなので -36.5+5.7=-30.8dB となる。きずの深さ150mm の対する相対ｴｺｰ高さ -30.8dB をDGS 線図で等価きず直径を読むと、5.0mm となる。,ut_2022_10_q119.png
121,次の文は、ＤＧＳ線図によるきずの大きさの推定について述べたものである。 に適する数値を一 つ選び、記号で答えよ。 周波数2MHz、振動子直径28mm の探触子を用いて、厚さ300mm の両面平行な鍛鋼品を垂直探傷した。健 全部の底面エコー高さを80%にしたときのゲイン調整器の値が20dB であった。そして、きずエコーが 探傷面から深さ140mm のところに検出された。そのエコー高さを80%にしたときのゲイン調整器の値は 38dB であった。このきずを超音波ビームに垂直な円形平面きずとして、その直径をDGS 線図を使用し て求めたところ、 mm となった。ただし、減衰係数の影響は無視できるものとする。 [１],2.3,3.2,4.2,7.9,c,厚さ300mm の底面ｴｺｰ高さは図の底面ｴｺｰ高さの交点より －10dB、きずｴｺｰ高さはこの底面ｴｺｰより(38dB-20dB)＝18dB 低い から、縦軸の値は、－10dB＋(－18dB)＝－28dB である。きず深さ は140mm であるから－28dB と140mm の交点を読むと4.2mm となる。,ut_2022_10_q121.png
122,次の文は、デシベル低下法を用いて大きな広がりを持った、きずの寸法の測定について述べたもので ある。次の文のうち正しいものを一つ選び、記号で答えよ。,デシベル低下法は、自動探傷に利用しやすい。,デシベル低下法は、伝達損失の影響を受けやすい。,デシベル低下法は、減衰の影響を受けやすい。,デシベル低下法は、きずエコー高さの影響を受けにくい。,d,"ﾃﾞｼﾍﾞﾙﾄﾞﾛｯﾌﾟ法は、最大ｴｺｰ高さからｴｺｰ高さがＤe ﾃﾞｼﾍﾞﾙ低下する ときの探触子の移動距離をきず寸法とする方法でＤe 値として 6,10,20dB などが用いられる。きずの形状や傾きにより適切なＤe 値 を決めることが必要であり小さいきずほど過大評価しやすいが、 きずｴｺｰ高さの影響は受けにくい。",
123,次の文は、超音波探傷におけるきず高さの測定について述べたものである。正しいものを一つ選び、 記号で答えよ。,きず高さは、垂直探傷試験で容易に測定することができる。,きず高さは、探傷面からのきず上端部までの寸法である。,きず高さは、TOFD 法や端部エコー法で測定することができる。,きず高さは、V 透過法で測定することができる。,c,きず高さの測定方法には、端部ｴｺｰ法、表面波法及びTOFD 法などが ある。,
124,板厚19mm の鋼突合せ溶接部を5Z10×10A70 を用いて、STB-A2 により探傷感度を調整し、検出レベルを M 検出レベルに選定して斜角探傷した。その結果ビーム路程が59mm の位置にエコー高さが80％のきず エコーが検出された。このきずについて、左右走査グラフは図1 のとおりであった。また、エコー高さ 区分線は図2 のとおりである。このきずの指示長さはいくらになるか。正しいものを一つ選び、記号で 答えよ。なお、表示器の測定範囲は125mm である。,23,28,33,60,c,図1.左右走査ｸﾞﾗﾌ(探触子位置) 図2.ｴｺｰ高さ区分線 ①題意よりﾋﾞｰﾑ路程は59mm、測定範囲125mm であるから、きずｴｺｰ 高さは図2 のようになる。 ②きずｴｺｰと区分線M 線との交点は図2 より40％、L 線との交点は 20％と読み取ることができる。ゆえに、図1 の左右走査ｸﾞﾗﾌでは 探触子位置が 約152mm でM 検出ﾚﾍﾞﾙを超えるｴｺｰ高さのきず と評価する。 ③きずの指示長さはJIS Z 3060 ではM 検出ﾚﾍﾞﾙでも、きずの指示 長さ測定は L 線を超える探触子の移動範囲と定められている。 図1 に示すきずｴｺｰ高さ20％を超える範囲は137mm から170mm と 読めるため、きずの指示長さは33mm となる。 探触子位置115mm と128mm のところに存在するｴｺｰは、走査ｸﾞﾗﾌ がM 線を下回っているため、きず検出の対象とはならない。,ut_2022_10_q124.png
125,板厚19mm の鋼突合せ溶接部を5Z10×10A70 を用いて、STB-A2 により探傷感度を調整し、検出レベルを L 検出レベルに選定して斜角探傷した。その結果ビーム路程が75mm の位置にエコー高さが70％のきず エコーが検出された。このきずについて、左右走査グラフは図1 のとおりであった。また、エコー高さ 区分線は図２（測定範囲125mm）のとおりである。この場合きずの指示長さはいくらになるか。適する 数値を一つ選び、記号で答えよ。,40,52,55,63,d,L=63 L 線ライン W=107 W=170 題意よりﾋﾞｰﾑ路程は75mm、測定範囲は125mm であるため図2 のよう な位置にきずｴｺｰが検出される。この位置によるL 線との交点は13％ と読むことができる。図１の左右走査ｸﾞﾗﾌの 13％を超える範囲を読 み取ると107mm から170mm の範囲となり、きずの指示長さは63mm と なる。ただし、147mm から157mm の範囲で13％を下回るが、その長さ が図1 の左側の13％を超える範囲（107～147mm）以下のため、同一 きず群と見なし、107～170mm の範囲をきずの指示長さとする。,ut_2022_10_q125.png
126,次の文は、平板継手溶接部をJIS Z 3060 により探傷し、検出されたきずの評価について述べものであ る。 ～ に適する文章および数値をそれぞれ一つ選び、記号で答えよ。 厚さ20mm の鋼突合せ溶接部を、JIS Z 3060 により超音波探傷をしたところ、同じ断面位置で数箇所か らきずを検出した。きずエコー高さはいずれも領域Ⅲであった。これらのきずは である。また、こ の溶接部のきずの分類は 類である。なお、きずの指示長さおよびきずときずの間隔は、図のとおり である。 a ）きずA、きずB は同一きず群、きずC は独立したきず b ）きずA、きずB、きずC は同一きず群 c ）きずA は独立きず、きずB、きずC は同一きず群 d ）全きずとも独立きず,1,2,3,4,a,"JIS Z 3060 では、近接したきずの取扱いは『同一と見なされる深さ 及び溶接線に直角方向の位置において、きずときずの間隔が大きい 方のきずの指示長さと同じか又はそれより短い場合は同一きず群と みなす。同一きず群の指示長さは、それらを間隔を含めて連続した 一つのきずとして指示長さを求める。きずときずの間隔が両者のき ずのうち、大きい方のきず指示長さより長い場合は、それぞれ独立 したきずとみなす。』となっている。よってA,B は同一きず群で、C は独立したきずである。 またきず指示長さはA、B の同一きず群は、A,B 共きずの指示長さが 20 ㎜でその間隔が10 ㎜であるため、20+10+20=50mm となり、表から 4 類、C はきず指示長さが10 ㎜で表から2 類となり、この溶接部の きずの分類は4 類である。",ut_2022_10_q126.png
129,次の文は、垂直探傷における残留エコーの発生について述べたものである。正しいものを一つ選び、記 号で答えよ。,減衰が大きい材料で、パルス繰返し周波数が低すぎると残留エコーが発生する。,減衰が大きい材料で、パルス繰返し周波数が高すぎると残留エコーが発生する。,減衰が小さい材料で、パルス繰返し周波数が低すぎると残留エコーが発生する。,減衰が小きい材料で、パルス繰返し周波数が高すぎると残留エコーが発生する。,d,残留ｴｺｰとは、ﾊﾟﾙｽ反射法において試験体中のｴｺｰが、次のﾊﾟﾙｽが送信 された後も残っているため、受信されて探傷図形に現れるｴｺｰであ る。ｺﾞｰｽﾄｴｺｰともいう。 減衰の少ない材料を探傷する場合、ﾊﾟﾙｽ繰返し周波数が高いと、一つ 前のﾊﾟﾙｽが残ってしまい、残留ｴｺｰとして現れる。 この場合、ﾊﾟﾙｽ繰返し周波数を低くするとよい。,
130,次の文は、保守検査で材質STPT(高温配管用炭素鋼鋼管)、100A のプラント配管の肉厚測定について 述べたものである。測定上の注意点について正しいものを一つ選び、記号で答えよ。ただし、プラント は稼働中で内部は100℃の蒸気配管である。,探触子は、市販の厚さ測定用探触子を用いる。,接触媒質は、測定面の温度で十分性能を発揮する高温用の接触媒質を使用する。,厚さ計の調整は、試験体と同材質で厚さが正確なものを使用し作業事務所で行う。,探触子の接触時間は、安定した値が得られるよう十分な時間とする。,b,一般の探触子を高温で使用すると、探触子は壊れてしまう場合が多 いので、探触子の使用可能温度内で使用する事が重要である。一般的 な探触子は、使用上限温度が 50℃程度であり、それ以上高くなると 探触子の遅延材及び振動子を貼り付けている接着剤が溶けて振動子 がはがれてしまうことが大きな原因である。高温測定物の厚さ測定 を実施する場合には、探触子を直接測定物に接触させず、高温に耐え れる遅延材を介して超音波を伝えるのが一般的な方法である。 また、通常の接触媒質では、高温によって蒸発してしまい、接触媒質 としての役割を果たさなくなってしまう。そこで、必ず高温専用の接 触媒質を適用する必要がある。高温用としての遅延材や専用の接触 媒質を用いても、探触子が接触する測定時間はできるだけ短くした 方が器材への負担は軽くなる。 高温の厚さ測定を行う場合、使用する垂直探触子によって適用温度 範囲、高温試験体への接触時間、探触子の冷却方法、冷却時間などが 製造業者から指定されている場合があることから探触子の取り扱い には十分に注意が必要である。,
131,次の文は、超音波探傷器による厚さ測定について述べたものである。正しいものを一つ選び、記号で答 えよ。,超音波探傷器を用いて鋼材の厚さ測定を行う場合、音速を5920ｍ/ｓに調整し、STB-A1 のB１を25ｍｍに合わせれば調整完了になる。,超音波探傷器を用いて厚さ測定を行う場合、遅延材付きの二振動子探触子は使用できな い。,超音波探傷器を用いて厚さ測定を行う場合、測定精度は1/10ｍｍが限界となる。,超音波探傷器を用いて厚さ測定を行う場合、標準試験片あるいは調整用試験片による測 定範囲の調整を行う必要がある。,d,超音波探傷器による厚さ測定では、標準試験片又は対比試験片の 既知の板厚に対応する距離に横軸を調整し、測定範囲の調整を行う。,
132,次の文は、JIS G 0801 によって、探触子5C20N を用いて板厚19mm の厚鋼板を垂直探傷し、探傷図形に 「積算効果」が現れたときの評価について述べたものである。正しいものを一つ選び、記号で答えよ。,板厚30mm を超える厚鋼板の探傷と同様に、Ｆ１で評価すべきである。,板厚30mm 以下であるからＦ２で評価すべきである。,板厚30mm 以下であるからＦ３で評価すべきである。,Ｆエコーの最大値で評価すべきである。,a,小さいきずの場合、きずｴｺｰの位置は送信ﾊﾟﾙｽと底面ｴｺｰの間に現れ るが、ｴｺｰ高さは小さい。 しかし、多くの場合、1 回目のきずｴｺｰF よりも、2 回目、3 回目の 1 きずｴｺｰの方が高く現われる。この現象を積算効果という。 これは、反射経路が2 回目以降増えていくためで、試験体の厚さに もよるが、数回目まで高くなり、次第にｴｺｰ高さは低くなる。 積算効果は比較的板厚が薄い、減衰の少ない、底面反射回数の多い鋼 板の試験体によく見られる。また、きずｴｺｰを評価する場合、たとえ 2 回目、3 回目のｴｺｰ高さが高くても、F で評価を行なう。 1,
133,次の文は、林状エコーに対する対策について述べたものである。正しいものを一つ選び、記号で答えよ。,林状エコーが多数発生する試験体の探傷では、振動子が小さい探触子を用いる。,林状エコーが多数発生する試験体の探傷では、狭帯域探触子を用いる。,林状エコーが多数発生する試験体の探傷では、広帯域探触子を用いる。,林状エコーが多数発生する試験体の探傷では、高い周波数の探触子を用いる。,c,超音波の波長が金属の結晶粒の大きさと同程度ないしそれ以下のと き、すなわち周波数が高すぎる場合、又は結晶粒が粗大な場合には、 散乱減衰が大きく、また、結晶粒界における散乱などによる林状ｴｺｰ が現れて、きずの検出が困難になる。このような場合、低い周波数を 適用する。広帯域探触子は周波数範囲が広くｴｺｰの幅が短く分解能が 良い。これを組織の粗い試験体に用いるとSN 比の向上が期待できる。,
134,次の文は、ISO 9712 について述べたものである。正しいものを一つ選び、記号で答えよ。,非破壊検査の資格試験に関する規格である。,超音波探傷試験の全般及び適用する方法に関する規格である。,溶接部の超音波探傷試験に関する規格である。,工業製品の非破壊検査に関する規格である。,a,ISO 9712 は非破壊検査の資格試験に関する規格である。,
