id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
109,次の文は、垂直探傷におけるＳＴＢを用いた感度調整について述べたものである。正しいものを一つ 選び、記号で答えよ。,試験片方式による感度調整は、減衰の少ない試験体にだけ適用できる。,試験片方式による感度調整は、試験体の探傷面と底面が平行でないと適用できない。,試験片方式による感度調整は、減衰の著しい試験体のとき、きずを過小評価する恐れがある。,試験片方式による感度調整は、試験体の探傷面の粗さの影響を受けにくい。,c,試験片方式の主な特徴 ①試験片方式では試験面の粗さ、試験体の減衰の影響を受ける。 ②探傷面と底面は平行でなくてもよい。 ③減衰の大きな試験体では過小評価する。,
110,次の文は、垂直探傷における感度調整について述べたものである。正しいものを一つ選び、記号で答え よ。,底面エコー方式による感度調整では、試験体の減衰が大きい場合、きずを過小評価する傾向にある。,試験片方式による感度調整では、試験体の減衰が大きい場合、きずを過大評価する恐れがある。,底面エコー方式による感度調整は、試験体の探傷面の粗さの影響を受けにくい。,試験片方式による感度調整は、試験体の探傷面の粗さの影響を受けにくい。,c,底面ｴｺｰ方式による感度調整では、減衰が大きい場合きずを過大評価 する傾向がある。試験片方式による感度調整では、減衰が大きい場合 きずを過小評価する恐れがあり、また試験体の表面粗さの影響を受 けやすい。,
112,次の文は、探傷器のゲイン調整について述べたものである。正しいものを一つ選び、記号で答えよ。,表示器上、10%のエコーに対し、ゲイン値を12dB 上げると、そのエコーは50%になった。,表示器上、100%のエコーに対し、ゲイン値を14dB 下げると、そのエコーは10%になった。,表示器上、20%のエコーに対し、ゲイン値を2dB 上げると、そのエコーは35%になった。,表示器上、80%のエコーに対し、ゲイン値を10dB 下げると、そのエコーは25%になった。,d,a)12dB=20logχ ⇒ χ=4 倍 10%×4 倍=40% b)-14dB=20logχ ⇒ χ=0.2 倍 100%×0.2 倍=20% c)2dB=20logχ ⇒ χ=1.26 倍 20%×1.26 倍=25% d)-10dB=20logχ ⇒ χ=0.3 倍 80%×0.3 倍=25%,
113,次の文は、斜角探傷におけるエコー高さ区分線の作成について述べたものである。正しいものを一つ選 び、記号で答えよ。,表示器に描いたエコー高さ区分線は、探触子の購入時に描いたものが、そのまま使用できる。,周波数、振動子サイズ、屈折角が同じ探触子で同一の探傷器に接続して用いる場合に限り、ゼロ点補正 だけを行えば、エコー高さ区分線は共通に使用可能である。,RB-41Aを用いて作成したエコー高さ区分線を使用して試験体の探傷を行う場合は感度補正の必要はない。,エコー高さ区分線は、0.5S 及び1S の範囲は精度よく描かなければならないが、1.5S 以上の範囲では あまり使用されないため精度は要求されない。,c,対比試験片 RB-41B、A2 形標準試験片を用いてｴｺｰ高さ区分線を作成 した場合は、試験体との間で探傷面における伝達損失と減衰係数が 異なるため、JIS Z 3060 に従って感度補正を行う。RB-41A は、試験 体と同等の音響特性（試験体との音速差±2%以内、感度補正量の差が ±2dB 以内）の鋼材及び探傷面の状態で曲率をもたないことが要求さ れているため、感度補正は必要としない。,
115,次の文は、ＤＧＳ線図の利用について述べたものである。[１]に適する数値を１つ選び、記号で答え よ。 2C20N の探触子を用いて、厚さ200mm の鋼製試験体を垂直探傷した。探傷感度は試験片方式でSTB-G V8 の エコー高さを50%に調整した。ビーム路程150mm の位置でエコー高さ96%のきずを検出した。このきずを超 音波ビームに垂直な円形平面きずとして、その直径を、DGS 線図を使用して求めると、[１]ｍｍとなる。 ただし、STB と試験体における接触状態、減衰及び音速の違いは無視する。 [１],2.1,3.0,3.5,5.0,d,STB-G V8 の標準穴は探傷面から80mm で、その標準穴の直径は 2mm であることを覚える。最初に80mm の深さにある直径2mm の 相対ｴｺｰ高さは、DGS 線図より-36.5dB となる。この標準穴の ｴｺｰ高さF を50％に調整し、150mm の深さにあるきずを検出したと STB きのｴｺｰ高さF が96％という事は、標準穴に対してきずｴｺｰは 20logF/F ＝20log96/50＝5.7dB STB 標準穴の相対ｴｺｰ-36.5dB に比べて＋5.7dB がきずの相対ｴｺｰなので -36.5+5.7=-30.8dB となる。きずの深さ150mm の対する相対ｴｺｰ高さ -30.8dB をDGS 線図で等価きず直径を読むと、5.0mm となる。,ut_2022_04_q115.png
117,次の文は、DGS 線図を用いて等価きず直径を推定する方法について述べたものである。 に最も適す る手法を解答群から一つ選び、記号で答えよ。 DGS線図を用いて等価きず直径を推定する場合、基準としてSTB-Gの円形平面きずを用いる場合のほか、 方法がある。,STB-A2 φ4mm、深さ4mm の縦穴を基準とする。,RB-41A に規定する横穴を基準とする。,試験体の健全部の底面エコーを基準とする。,STB-N1 φ5.6mm の円形平面きずを基準とする。,c,DGS 線図を用いて等価きず直径を推定する方法としては、STB-G の円 形平面きず用いる試験片方式の他に、試験体健全部の底面ｴｺｰを基準 にする底面ｴｺｰ方式を用いる場合がある。,
118,次の文は、ＤＧＳ線図によるきずの大きさの推定について述べたものである。 に適する数値を一 つ選び、記号で答えよ。 周波数2MHz、振動子直径28mm の探触子を用いて、厚さ300mm の両面平行な鍛鋼品を垂直探傷した。健 全部の底面エコー高さを80%にしたときのゲイン調整器の値が20dB であった。そして、きずエコーが 探傷面から深さ140mm のところに検出された。そのエコー高さを80%にしたときのゲイン調整器の値は 38dB であった。このきずを超音波ビームに垂直な円形平面きずとして、その直径をDGS 線図を使用し て求めたところ、 mm となった。ただし、減衰係数の影響は無視できるものとする。 [１],2.3,3.2,4.2,7.9,c,厚さ300mm の底面ｴｺｰ高さは図の底面ｴｺｰ高さの交点より －10dB、きずｴｺｰ高さはこの底面ｴｺｰより(38dB-20dB)＝18dB 低い から、縦軸の値は、－10dB＋(－18dB)＝－28dB である。きず深さ は140mm であるから－28dB と140mm の交点を読むと4.2mm となる。,ut_2022_04_q118.png
119,次の文は、エコー高さの評価について述べたものである。正しいものを一つ選び、記号で答えよ。,F/BFとは、きずエコー高さときずエコーが最大となる位置での底面エコー高さとの比で、きずの大き さにかかわらず材料の減衰値が一定であれば常に一定の値になる。,F/BGを用いる場合、健全部の底面エコー高さで感度調整すれば、同材質、同一形状の試験体について 同一感度で探傷できる。,F/BGは、きずエコー高さと健全部の底面エコー高さとの比であるが、探傷面の粗さが変化してもF エコー高さもBGエコー高さも変わらない。,探傷面の粗さにかかわらず接触媒質の種類によるエコー高さへの影響はない。,b,F/B（ｴﾌ･ﾊﾞｲ･ﾋﾞｰｼﾞｰ）：健全部のB に対するきずｴｺｰの大きさ。 G 1 【特徴】①探傷面の影響を受ける。②同一材質、同一形状の試験体 の場合、作業性がよい。③大きなきずが傾いている場合、過小評価 になる。 F/B（ｴﾌ･ﾊﾞｲ･ﾋﾞｰｴﾌ）：きず検出部のB に対するきずｴｺｰの大きさ。 F 1 【特徴】①大きなきずか傾いている場合、F/B より評価が優れてい G る。②F/B はF/B よりもきずの大きさの定性的評価に適している。 F G ③探傷面の影響を受けにくい。,
120,次の文は、デシベル低下法を用いて大きな広がりを持った、きずの寸法の測定について述べたもので ある。次の文のうち正しいものを一つ選び、記号で答えよ。,デシベル低下法は、自動探傷に利用しやすい。,デシベル低下法は、伝達損失の影響を受けやすい。,デシベル低下法は、減衰の影響を受けやすい。,デシベル低下法は、きずエコー高さの影響を受けにくい。,d,"ﾃﾞｼﾍﾞﾙ低下法は、最大ｴｺｰ高さからｴｺｰ高さがＤe ﾃﾞｼﾍﾞﾙ低下する ときの探触子の移動距離をきず寸法とする方法でＤe 値として 6,10,20dB などが用いられる。きずの形状や傾きにより適切なＤe 値 を決めることが必要であり小さいきずほど過大評価しやすいが、 きずｴｺｰ高さの影響は受けにくい。",
121,次の文は、超音波探傷におけるきず高さの測定について述べたものである。正しいものを一つ選び、 記号で答えよ。,きず高さは、垂直探傷試験で容易に測定することができる。,きず高さは、探傷面からのきず上端部までの寸法である。,きず高さは、TOFD 法や端部エコー法で測定することができる。,きず高さは、V 透過法で測定することができる。,c,きず高さの測定方法には、端部ｴｺｰ法、表面波法及びTOFD 法などが ある。,
122,板厚19mm の鋼突合せ溶接部を5Z10×10A70 を用いて、STB-A2 により探傷感度を調整し、検出レベルを M 検出レベルに選定して斜角探傷した。その結果ビーム路程が59mm の位置にエコー高さが80％のきず エコーが検出された。このきずについて、左右走査グラフは図1 のとおりであった。また、エコー高さ 区分線は図2 のとおりである。このきずの指示長さはいくらになるか。正しいものを一つ選び、記号で 答えよ。なお、表示器の測定範囲は125mm である。,23,28,33,60,c,図1.左右走査ｸﾞﾗﾌ(探触子位置) 図2.ｴｺｰ高さ区分線 ①題意よりﾋﾞｰﾑ路程は59mm、測定範囲125mm であるから、きずｴｺｰ 高さは図2 のようになる。 ②きずｴｺｰと区分線M 線との交点は図2 より40％、L 線との交点は 20％と読み取ることができる。ゆえに、図1 の左右走査ｸﾞﾗﾌでは 探触子位置が 約152mm でM 検出ﾚﾍﾞﾙを超えるｴｺｰ高さのきず と評価する。 ③きずの指示長さはJIS Z 3060 ではM 検出ﾚﾍﾞﾙでも、きずの指示 長さ測定は L 線を超える探触子の移動範囲と定められている。 図1 に示すきずｴｺｰ高さ20％を超える範囲は137mm から170mm と 読めるため、きずの指示長さは33mm となる。 探触子位置115mm と128mm のところに存在するｴｺｰは、走査ｸﾞﾗﾌ がM 線を下回っているため、きず検出の対象とはならない。,ut_2022_04_q122.png
123,板厚19mm の鋼突合せ溶接部を5Z10×10A70 を用いて、STB-A2 により探傷感度を調整し、検出レベルを L 検出レベルに選定して斜角探傷した。その結果ビーム路程が75mm の位置にエコー高さが70％のきず エコーが検出された。このきずについて、左右走査グラフは図1 のとおりであった。また、エコー高さ 区分線は図２（測定範囲125mm）のとおりである。この場合きずの指示長さはいくらになるか。適する 数値を一つ選び、記号で答えよ。,40,52,55,63,d,L=63 L 線ライン W=107 W=170 題意よりﾋﾞｰﾑ路程は75mm、測定範囲は125mm であるため図2 のよう な位置にきずｴｺｰが検出される。この位置によるL 線との交点は13％ と読むことができる。図１の左右走査ｸﾞﾗﾌの 13％を超える範囲を読 み取ると107mm から170mm の範囲となり、きずの指示長さは63mm と なる。ただし、147mm から157mm の範囲で13％を下回るが、その長さ が図1 の左側の13％を超える範囲（107～147mm）以下のため、同一 きず群と見なし、107～170mm の範囲をきずの指示長さとする。,ut_2022_04_q123.png
124,次の文は、超音波探傷試験における林状エコーについて述べたものである。正しいものを一つ選び、 記号で答えよ。,林状エコーは、試験体中の結晶粒界による超音波の散乱によって生じる。,広帯域探触子を使うと、林状エコーが高くなる。,試験周波数を高めると、林状エコーが低くなる。,パルス繰返し周波数を高めると、林状エコーが低くなる。,a,超音波の周波数が高い場合や結晶粒が粗大な場合には、散乱減衰が 大きく、結晶粒界における散乱などにより林状エコーが表れやすい。 広帯域(高分解能)探触子を使用すれば組織が粗い試験体のＳＮ比の 向上が期待できる,
125,次の文は、平板継手溶接部をJIS Z 3060 により探傷し、検出されたきずの評価について述べものであ る。 ～ に適する文章および数値をそれぞれ一つ選び、記号で答えよ。 厚さ20mm の鋼突合せ溶接部を、JIS Z 3060 により超音波探傷をしたところ、同じ断面位置で数箇所か らきずを検出した。きずエコー高さはいずれも領域Ⅲであった。これらのきずは である。また、こ の溶接部のきずの分類は 類である。なお、きずの指示長さおよびきずときずの間隔は、図のとおり である。 a ）きずA、きずB は同一きず群、きずC は独立したきず b ）きずA、きずB、きずC は同一きず群 c ）きずA は独立きず、きずB、きずC は同一きず群 d ）全きずとも独立きず,1,2,3,4,a,"JIS Z 3060 では、近接したきずの取扱いは『同一と見なされる深さ 及び溶接線に直角方向の位置において、きずときずの間隔が大きい 方のきずの指示長さと同じか又はそれより短い場合は同一きず群と みなす。同一きず群の指示長さは、それらを間隔を含めて連続した 一つのきずとして指示長さを求める。きずときずの間隔が両者のき ずのうち、大きい方のきず指示長さより長い場合は、それぞれ独立 したきずとみなす。』となっている。よってA,B は同一きず群で、C は独立したきずである。 またきず指示長さはA、B の同一きず群は、A,B 共きずの指示長さが 20 ㎜でその間隔が10 ㎜であるため、20+10+20=50mm となり、表から 4 類、C はきず指示長さが10 ㎜で表から2 類となり、この溶接部の きずの分類は4 類である。",ut_2022_04_q125.png
127,次の文は、垂直探傷における残留エコーの発生について述べたものである。正しいものを一つ選び、 記号で答えよ。,幅の狭い材料を、低い周波数の探触子を用いて探傷したために発生した。,厚板の探傷において、探傷周波数を高くしたために発生した。,減衰の小さい材料の探傷において、パルス繰返し周波数が高すぎたために発生した。,高減衰材を高い周波数で探傷したために発生した。,c,残留ｴｺｰとは、ﾊﾟﾙｽ反射法において試験体中のｴｺｰが、次のﾊﾟﾙｽが送信 された後も残っているため、受信されて探傷図形に現れるｴｺｰであ る。ｺﾞｰｽﾄｴｺｰともいう。 減衰の少ない材料を探傷する場合、ﾊﾟﾙｽ繰返し周波数が高いと、一つ 前のﾊﾟﾙｽが残ってしまい、残留ｴｺｰとして現れる。 この場合、ﾊﾟﾙｽ繰返し周波数を低くするとよい。,
128,次の文は、保守検査に超音波探傷がよく利用されている理由について述べたものである。正しいもの を一つ選び、記号で答えよ。,使用中の材料や構造物に発生する割れなどのきずの探傷が容易に可能である。,板厚方向の反射源の位置測定が可能であるため、超音波探傷器による厚さ測定が一般的である。,超音波探傷は、他のNDT 手法に比べて、高所作業や密閉箇所の内部の検査に、遠隔作業が比較的容易で ある。,集束探触子を用いた水浸法による介在物探傷や、減衰測定による材料の結晶粒度など、材料の物理的 特性を測定することができる。,a,保守検査で実施する非破壊検査の目的は製造時に発生したきずの検 出とは異なり、使用中に発生するきずや損傷、腐食減肉、材料の劣化 など、機器の装置の運転に際してﾄﾗﾌﾞﾙの原因になると考えられる異 常部を検出することである。超音波探傷試験は、放射線透過試験に比 べて以下の利点を有しており、保守検査に有効に利用されている。 (1)裏面に開口したきずの検出が容易である。 (2)試験体の厚さ方向の情報が得られる。 (3)片面から探傷が可能である。 (4)安全面での管理が容易である。 (5)材料評価が可能である。 特に(1)にあるように、使用中の材料や構造物に発生した疲労割れや 応力腐食割れなどの検出では、斜角探傷により検出が容易で、効率よ く探傷が可能である。 板厚測定は超音波探傷器ではなく、超音波厚さ計を用いる場合が多 い。,
129,次の文は、JIS G 0801 によって、探触子5C20N を用いて板厚19mm の厚鋼板を垂直探傷し、探傷図形に 「積算効果」が現れたときの評価について述べたものである。正しいものを一つ選び、記号で答えよ。,板厚30mm を超える厚鋼板の探傷と同様に、Ｆ１で評価すべきである。,板厚30mm 以下であるからＦ２で評価すべきである。,板厚30mm 以下であるからＦ３で評価すべきである。,Ｆエコーの最大値で評価すべきである。,a,小さいきずの場合、きずｴｺｰの位置は送信ﾊﾟﾙｽと底面ｴｺｰの間に現れ るが、ｴｺｰ高さは小さい。 しかし、多くの場合、1 回目のきずｴｺｰF よりも、2 回目、3 回目の 1 きずｴｺｰの方が高く現われる。この現象を積算効果という。 これは、反射経路が2 回目以降増えていくためで、試験体の厚さに もよるが、数回目まで高くなり、次第にｴｺｰ高さは低くなる。 積算効果は比較的板厚が薄い、減衰の少ない、底面反射回数の多い鋼 板の試験体によく見られる。また、きずｴｺｰを評価する場合、たとえ 2 回目、3 回目のｴｺｰ高さが高くても、F で評価を行なう。 1,
130,次の文は、林状エコーに対する対策について述べたものである。正しいものを一つ選び、記号で答えよ。,林状エコーが多数発生する試験体の探傷では、振動子が小さい探触子を用いる。,林状エコーが多数発生する試験体の探傷では、狭帯域探触子を用いる。,林状エコーが多数発生する試験体の探傷では、広帯域探触子を用いる。,林状エコーが多数発生する試験体の探傷では、高い周波数の探触子を用いる。,c,超音波の波長が金属の結晶粒の大きさと同程度ないしそれ以下のと き、すなわち周波数が高すぎる場合、又は結晶粒が粗大な場合には、 散乱減衰が大きく、また、結晶粒界における散乱などによる林状ｴｺｰ が現れて、きずの検出が困難になる。このような場合、低い周波数を 適用する。広帯域探触子は周波数範囲が広くｴｺｰの幅が短く分解能が 良い。これを組織の粗い試験体に用いるとSN 比の向上が期待できる。,
131,板厚15mm の鋼溶接部をJIS Z 3060 に従って（直射法により）L 検出レベルで探傷したところ、 溶接始端部から30mm の位置で、領域Ⅲ、指示長さ20mm のきずエコーが検出され、4 類と分類 された。このきずを、溶接部の反対側から探傷したところ、溶接始端部から35mm の位置に、領 域Ⅱ、指示長さ15mm のきずエコーが検出され、3 類と分類された。次の文は、このきずの評価 について述べたものである。きずの評価について正しいものを一つ選び、記号で答えよ。,このきずの分類は3 類である。,このきずの分類は4 類である。,このきずの分類は5 類である。,溶接部の両側で評価が異なった場合、きずの始端、終端の位置に関係なくきずの指示長さの短 い方の探傷結果で評価する。,b,JIS Z 3060 の10.2.2.3 きず指示長さでは、『一つのきずに対して、 異なる屈折角の複数の探触子で検出した場合、又は異なる探傷面か らの探傷で検出した場合は、それぞれの探触子又は探傷面できずの 指示長さを求め、それぞれのきずの指示長さのうち、最大となるもの を該当きずの指示長さとする。』とある。 この問題では、指示長さ20mm・4 類と反対側で15mm・3 類を検出して いるので、指示長さの長い方20mm・4 類が評価の対象となる。 よってb)のこのきずの分類は4 類である。が正しい。,
132,細長い軸類を長手方向に垂直探傷するとき、段付き部などの遅れエコーが現れてきずエコーと見誤る ことが多い。次の文は、この現象に最も強く影響している原因について述べたものである。正しいも のを一つ選び、記号で答えよ。,試験体が細長いため、広がった超音波の一部が側面に当たり縦波で反射するためビーム路程が長くなる。,往復の間に側面に当たり、縦波から横波に、変換した超音波が段付き部などから反射して発生する。,縦波の探触子を使用しても、若干横波も出る。感度を上げれば、その横波によるエコーが遅れて現れる。,縦波が側面にあたり、円柱面エコーが生じ、段付き部のエコーよりも遅れて検出される。,b,超音波ﾋﾞｰﾑの拡がりにより縦波超音波の一部が側面に斜め入射する と、反射時に一部の超音波がﾓｰﾄﾞ変換（縦波⇒横波）を起こす。この 横波の超音波が反対側の側面に斜め入射し、また反射時に横波の超 音波の一部がﾓｰﾄﾞ変換（横波⇒縦波）を起こすというような経路で探 触子に戻ってくる。ﾓｰﾄﾞ変換を起こした超音波は伝搬距離が長く、底 面ｴｺｰB より遅れて受信される。このｴｺｰを遅れｴｺｰという。試験体が 鋼の場合、底面ｴｺｰと遅れｴｺｰの差ΔＷn は ΔＷn=0.76nd で求められる。,
133,次の文は、NDT に関する技術文書について述べたものである。正しいものを一つ選び、記号で答えよ。,NDT 手順書及びNDT 指示書については、レベル3 技術者が作成しなければならない。,NDT 指示書は、レベル1 技術者が修正してもよい。,NDT 指示書は、レベル2 以上の技術者が作成する。,NDT 仕様書は、レベル3 技術者が作成する。,c,a)NDT 手順書はﾚﾍﾞﾙ3 が作成するが、NDT 指示書はﾚﾍﾞﾙ２以上の技術 者が作成できる。 b)ﾚﾍﾞﾙ１技術者は、NDT 方法若しくは技法の選択又はNDT 結果の解釈 について責任を負ってはならない。 d)NDT 仕様書は顧客の要求事項を提示した文書であり、ﾚﾍﾞﾙ3 が作成 するものではない。,
134,次の文は、JIS Z 3060 による探傷装置の調整及び点検について述べたものである。正しいものを一つ 選び、記号で答えよ。,測定範囲及び探傷感度は作業開始時に調整しなければならないが、入射点及びSTB 屈折角は継続して 使用している場合は前日の値を使用してもよい。,測定範囲及び探傷感度は作業開始時、作業開始から4 時間以内ごと及び作業終了時に点検し確認し なければならない。,再点検時、探傷感度が直前の調整又は確認時より3dB 低下している場合は、再調整し直前に調整又は 確認した以後に実施した試験を再試験する。,再点検時、探傷感度が直前の調整又は確認時より3dB 増加している場合は、再調整し直前に調整又は 確認した以後に実施した試験で、きずを検出した部分を再試験する。,b,JIS Z 3060 の9.1.7 探傷装置の測定、調整及び点検では、『入射点、 STB 屈折角、測定範囲及び探傷感度は、作業開始時に測定及び調整す る。また、これらは作業開始後4 時間以内ごと及び作業終了時に点検 し、これらの条件の変化量を確認する。条件が変化している場合は下 表の処置を行う。』とあり、a)は誤りで、b)は正しい。 条件の変化量とその処置は下表のようである。 STB 屈折角が維持されていない場合の処置 変化の範囲 処置の内容 公称屈折角の±２°以内 再調整して作業を継続する。 公称屈折角の±２°を超 交換又は補修を行い、直前の調整又は点検以上に実施 えるもの した試験を再試験する。 測定範囲が維持されていない場合の処置 変化の範囲 処置の内容 ±2%以内 再調整して作業を継続する。 ±2%を超えるもの 再調整し、直前の調整又は点検以降に実施した試験を 再試験する。,
